Term,Status,Section,Title,Dates,Location,InstructionalMethods,Meetings,Instructors,Availability,Credits,Comments
Spring 2026,Open,CHEM-105-001,Chemistry and Society,1/26/2026-5/16/2026,Main Campus,Lecture,"M, W 12:30-1:45 PM
1/26/2026 - 5/16/2026
TCH 205 (LEC)",Ms. Raluca Milinichik,3 / 24 / 0,3.00000 Credits,
Spring 2026,Open,CHEM-105-300,Chemistry and Society,1/26/2026-5/16/2026,Online,Online,"1/26/2026 - 5/16/2026
(ONL)",Ms. Rachel T. Ortiz,3 / 24 / 0,3.00000 Credits,
Spring 2026,Open,CHEM-135-001,Chemistry for Engineers,1/26/2026-5/16/2026,Main Campus,Lecture,"M, W 11:00 AM-12:15 PM
1/26/2026 - 5/16/2026
TCH 303 (LEC)",Mr. Wei Xie,2 / 24 / 0,3.00000 Credits,
Spring 2026,Open,CHEM-135-002,Chemistry for Engineers,1/26/2026-5/16/2026,Main Campus,Lecture,"M, W 12:30-1:45 PM
1/26/2026 - 5/16/2026
TCH 303 (LEC)",Mr. Wei Xie,4 / 24 / 0,3.00000 Credits,
Spring 2026,Open,CHEM-136-001,Chemistry for Engineers Lab,1/26/2026-5/16/2026,Main Campus,Lab,"M 2:00-4:50 PM
1/26/2026 - 5/16/2026
TCH 350 (LAB)",Mr. Wei Xie,3 / 24 / 0,1.00000 Credits,
Spring 2026,Open,CHEM-201-001,Organic Chemistry I,1/26/2026-5/16/2026,Main Campus,Lecture,"T, Th 11:00 AM-12:15 PM
1/26/2026 - 5/16/2026
TCH 203 (LEC)",Dr. Qingyang Liu,2 / 18 / 0,4.00000 Credits,
Spring 2026,Open,CHEM-201-002,Organic Chemistry I,1/26/2026-5/16/2026,Main Campus,Lecture,"Th 6:30-9:20 PM
1/26/2026 - 5/16/2026
TCH 211 (LEC)",Dr. Hany F. Sobhi,4 / 18 / 0,4.00000 Credits,
Spring 2026,Open,CHEM-201-003,Organic Chemistry I,1/26/2026-5/16/2026,Main Campus,Lecture,"M, W 12:30-1:45 PM
1/26/2026 - 5/16/2026
TCH 203 (LEC)",Dr. Qingyang Liu,2 / 18 / 0,4.00000 Credits,
Spring 2026,Open,CHEM-201L-001,Organic Chemistry I Lab,1/26/2026-5/16/2026,Main Campus,Lab,"Th 2:00-4:50 PM
1/26/2026 - 5/16/2026
TCH 450 (LAB)",Dr. Maria M. Escallon,2 / 18 / 0,0.00000 Credits,
Spring 2026,Open,CHEM-201L-002,Organic Chemistry I Lab,1/26/2026-5/16/2026,Main Campus,Lab,"F 6:30-9:20 PM
1/26/2026 - 5/16/2026
TCH 450 (LAB)",Dr. Hany F. Sobhi,4 / 18 / 0,0.00000 Credits,
Spring 2026,Open,CHEM-201L-003,Organic Chemistry I Lab,1/26/2026-5/16/2026,Main Campus,Lab,"W 2:00-4:50 PM
1/26/2026 - 5/16/2026
TCH 450 (LAB)",Dr. Qingyang Liu,2 / 18 / 0,0.00000 Credits,
Spring 2026,Open,CHEM-202-001,Organic Chemistry II,1/26/2026-5/16/2026,Main Campus,Lecture,"M, W 12:30-1:45 PM
1/26/2026 - 5/16/2026
TCH 401 (LEC)",Dr. Hany F. Sobhi,9 / 18 / 0,4.00000 Credits,
Spring 2026,Open,CHEM-202-002,Organic Chemistry II,1/26/2026-5/16/2026,Main Campus,Lecture,"T, Th 12:30-1:45 PM
1/26/2026 - 5/16/2026
TCH 203 (LEC)",Dr. Qingyang Liu,1 / 18 / 0,4.00000 Credits,
Spring 2026,Open,CHEM-202L-001,Organic Chemistry II Lab,1/26/2026-5/16/2026,Main Campus,Lab,"W 2:00-4:50 PM
1/26/2026 - 5/16/2026
TCH 452 (LAB)",Dr. Hany F. Sobhi,9 / 18 / 0,0.00000 Credits,
Spring 2026,Open,CHEM-202L-002,Organic Chemistry II Lab,1/26/2026-5/16/2026,Main Campus,Lab,"Th 2:00-4:50 PM
1/26/2026 - 5/16/2026
TCH 452 (LAB)",Dr. Qingyang Liu,1 / 18 / 0,0.00000 Credits,
